,chiller_power,cooling_capacity,uncontrollable_power,oat,time,ice_mass,t_cc_out,price,whole_building_power,whole_building_power_opt,state_of_charge,charging_rate,discharging_rate,rated_power,peak_load,peak_load_opt
17,13.809142563481231,53.87858591184162,75.07576666666667,77.0,2017-08-21 17:00:00,1.5,31.598715569484483,9.083333333,88.8849092301479,78.98616441747102,14.2122318140394,0.0,9.898744812618506,9.89874481267687,89.87808843811223,79.97934360419654
18,4.698461168514279,18.56225274820619,71.49146101694916,73.4,2017-08-21 18:00:00,1.5,28.94352043898482,9.083333333,76.18992218546344,76.18992219727585,10.0,1.0046346212226787e-08,0.0,-1.1812399387641363e-08,89.87808843811223,79.97934360419654
19,3.9697212353642533,14.16486972177207,73.0602,71.6,2017-08-21 19:00:00,1.5,150.83643759224614,9.083333333,77.02992123536424,77.02992124546167,10.0,8.661046502446331e-09,0.0,-1.0097417749520385e-08,89.87808843811223,79.97934360419654
20,3.059539721474807,8.105621593276085,72.25156666666666,66.2,2017-08-21 20:00:00,1.5,-4.319849565940547,9.083333333,75.31110638814147,75.31110639643356,10.0,7.106648523946287e-09,0.0,-8.292083785669929e-09,89.87808843811223,79.97934360419654
21,3.7602504356539344,13.493124906326589,71.10546666666667,68.0,2017-08-21 21:00:00,1.5,118.11236652183345,9.083333333,74.8657171023206,74.86571710912285,10.0,5.8254080180895245e-09,0.0,-6.802261995612584e-09,89.87808843811223,79.97934360419654
22,2.997335552238074,7.519470578908819,71.2742,66.2,2017-08-21 22:00:00,1.5,-2.6861908694468575,9.083333333,74.27153555223806,74.27153556491817,10.0,1.1886526048805298e-08,0.0,-1.2680116675218128e-08,89.87808843811223,79.97934360419654
23,2.6146882304844117,4.575862186647194,70.62477344632768,62.6,2017-08-21 23:00:00,1.5,1.5998068894166282,4.675,73.2394616768121,73.2394616768121,10.0,1.582080930222365e-09,1.5820809356753391e-09,5.452974188463364e-18,89.87808843811223,79.97934360419654
24,2.518523595338134,4.554126505841085,69.6471,59.0,2017-08-22 00:00:00,1.5,1.407173462945746,4.675,72.16562359533813,81.32451925879809,10.0,9.15889566159442,0.0,-9.158895663459953,100.5833838773821,90.68463904346929
25,2.081844563855926,0.20503157515424572,68.98833333333333,55.4,2017-08-22 01:00:00,1.5,4.318930376413205,4.675,71.07017789718925,80.22434917751745,13.89740240998296,9.154171278463636,0.0,-9.15417128032821,100.5833838773821,90.68463904346929
26,2.3117259054538013,2.0734841447778525,67.37206666666665,59.0,2017-08-22 02:00:00,1.5,3.435197163180239,4.675,69.68379257212045,78.83571707714616,17.792794444165178,9.151924503162002,0.0,-9.151924505025706,100.5833838773821,90.68463904346929
27,2.309729769205281,2.0477833812331108,67.27919999999999,59.0,2017-08-22 03:00:00,1.5,3.4501099690527783,4.675,69.58892976920527,78.73929383949879,21.687230403750583,9.150364068430687,0.0,-9.150364070293525,100.5833838773821,90.68463904346929
28,2.435356456534983,3.037840235834854,66.0282,60.8,2017-08-22 04:00:00,1.5,2.8494902850167176,4.675,68.46355645653497,77.6129900223368,25.58100234855634,9.149433563939857,0.0,-9.149433565801838,100.5833838773821,90.68463904346929
29,3.3780278748260884,11.76423218431043,67.10633333333332,62.6,2017-08-22 05:00:00,1.5,-555.1793566568437,4.675,70.48436120815941,79.63242577213003,29.47437833400393,9.148064562109656,0.0,-9.148064563970625,100.5833838773821,90.68463904346929
30,4.00398094695643,16.471290815021874,70.05336666666668,62.6,2017-08-22 06:00:00,1.5,23.167970988919876,4.675,74.05734761362311,83.20349670008746,33.36717176548079,9.146149084604525,0.0,-9.146149086464348,100.5833838773821,90.68463904346929
31,4.163183710842955,17.185703831537914,75.36116666666666,64.4,2017-08-22 07:00:00,1.5,22.804609265959307,4.675,79.52435037750962,88.65926552865922,37.25915010014647,9.1349151492845,0.0,-9.134915151149608,100.5833838773821,90.68463904346929
32,3.906832585531553,14.99375475942826,80.09159435028248,66.2,2017-08-22 08:00:00,1.5,36.2087728361112,4.675,83.99842693581402,90.51493133754178,41.146348036805875,6.5165043998637735,0.0,-6.516504401727762,100.5833838773821,90.68463904346929
33,8.084670628205068,35.86723749568111,81.90513333333334,71.6,2017-08-22 09:00:00,1.5,17.665053520612776,9.083333333,89.9898039615384,81.90513252550195,43.91932863328578,1.807959267135065e-11,8.084671436054528,8.084671436036448,100.5833838773821,90.68463904346929
34,6.758589293993928,29.032525607570786,82.0382,75.2,2017-08-22 10:00:00,1.5,19.51699299709228,15.925,88.79678929399392,82.03819918407295,40.479042915823456,2.7425068570469467e-12,6.758590109923722,6.758590109920979,100.5833838773821,90.68463904346929
35,8.323069805973626,34.64796027533494,80.44793333333334,78.8,2017-08-22 11:00:00,1.5,21.98392087101275,15.925,88.77100313930697,80.44793253330896,37.60304712436773,3.862460125924068e-12,8.323070606001878,8.323070605998016,100.5833838773821,90.68463904346929
36,8.242130806324237,33.71386589553561,83.39926666666666,80.6,2017-08-22 12:00:00,1.5,23.798049461464718,9.083333333,91.6413974729909,83.39926584404293,34.06131495160261,1.6713491279512813e-11,8.242131628964685,8.242131628947972,100.5833838773821,90.68463904346929
37,8.864752898934652,35.46938571379321,84.6889,82.4,2017-08-22 13:00:00,1.5,26.75423269643888,15.925,93.55365289893466,84.68889915756596,30.554024896731132,4.560196524180743e-12,8.864753741373265,8.864753741368705,100.5833838773821,90.68463904346929
38,9.740969490494681,38.646748540198594,85.10286666666666,82.4,2017-08-22 14:00:00,1.5,28.16508930784638,15.925,94.84383615716133,85.10286582009293,26.78178926210615,1.88347733599051e-11,9.740970337087239,9.740970337068404,100.5833838773821,90.68463904346929
39,14.257917210715432,51.81726355261274,86.32546666666667,84.2,2017-08-22 15:00:00,1.5,80.18182169300216,15.925,100.5833838773821,90.68463904346929,22.636695501651513,0.0,9.898744823962527,9.898744833912813,100.5833838773821,90.68463904346929
40,14.265625346184056,52.74143622029593,83.7506,82.4,2017-08-22 16:00:00,1.5,56.92108198279915,15.925,98.01622534618406,88.11748052250505,18.424463657433293,0.0,9.898744819532507,9.89874482367901,100.5833838773821,90.68463904346929
41,15.950410200733645,57.29641463996351,80.16916666666667,82.4,2017-08-22 17:00:00,1.5,113.53759164204047,9.083333333,96.11957686740031,86.22083205293777,14.212231817569885,0.0,9.898744812618506,9.898744814462539,100.5833838773821,90.68463904346929
42,4.902967892664841,19.345978462242172,74.96596666666666,75.2,2017-08-22 18:00:00,1.5,29.18448333263884,9.083333333,79.8689345593315,79.86893457079533,10.0,1.0388191263263077e-08,0.0,-1.1463824800273333e-08,100.5833838773821,90.68463904346929
43,4.100761997784483,14.651038451649338,74.2364,73.4,2017-08-22 19:00:00,1.5,141.88938235114742,9.083333333,78.33716199778449,78.3371620073587,10.0,8.676208856139853e-09,0.0,-9.574215055976565e-09,100.5833838773821,90.68463904346929
44,3.759016430275096,13.050921142796108,73.33803333333333,69.8,2017-08-22 20:00:00,1.5,-341.5280318289046,9.083333333,77.09704976360842,77.0970497719537,10.0,7.604118966285428e-09,0.0,-8.34528174221062e-09,100.5833838773821,90.68463904346929
45,2.713934078721143,5.6497209828621795,72.61616666666666,62.6,2017-08-22 21:00:00,1.5,0.29009605772593006,9.083333333,75.3301007453878,75.33010075275507,10.0,6.80404635568645e-09,0.0,-7.367267977597454e-09,100.5833838773821,90.68463904346929
46,2.817290563594157,6.22494904765527,71.29933333333334,64.4,2017-08-22 22:00:00,1.5,-0.39425984973111844,9.083333333,74.11662389692749,74.11662390335022,10.0,6.040832651858861e-09,0.0,-6.4227193106353355e-09,100.5833838773821,90.68463904346929
47,2.4671842154101706,3.419518661560168,70.70750000000001,60.8,2017-08-22 23:00:00,1.5,2.5642372204623007,4.675,73.17468421541018,73.17468421541018,10.0,1.3415320864187685e-09,1.341532937531e-09,8.511122314584974e-16,100.5833838773821,90.68463904346929
48,2.759130961322818,6.611533007397344,69.01086111111111,60.8,2017-08-23 00:00:00,1.5,-1.678721442555828,4.675,71.76999207243394,81.08318755872804,10.0,9.313195482762966,0.0,-9.313195486294102,105.59104775340832,95.69230291949583
49,2.562444686237838,3.9867005265061928,69.68394444444445,62.6,2017-08-23 01:00:00,1.5,2.1593166575726483,4.675,72.24638913068229,81.55958461697638,13.96306190906132,9.313195482762966,0.0,-9.3131954862941,105.59104775340832,95.69230291949583
50,2.43307169010291,3.0101340658465636,69.41336111111112,60.8,2017-08-23 02:00:00,1.5,2.869131504290031,4.675,71.84643280121402,81.15962828750811,17.92612381812264,9.313195482762966,0.0,-9.313195486294099,105.59104775340832,95.69230291949583
51,2.1937649051782637,1.1250663691428857,67.74072222222222,57.2,2017-08-23 03:00:00,1.5,3.9192839049677124,4.675,69.93448712740049,79.24768261369458,21.889185727183957,9.313195482762966,0.0,-9.313195486294097,105.59104775340832,95.69230291949583
52,2.082109607239838,0.2088994809759757,67.70322222222222,55.4,2017-08-23 04:00:00,1.5,4.317366693941316,4.675,69.78533182946207,79.09852731575616,25.852247636245277,9.313195482762966,0.0,-9.313195486294095,105.59104775340832,95.69230291949583
53,2.3288599861107175,2.8779259806425244,69.61111111111111,57.2,2017-08-23 05:00:00,1.5,2.871825445885969,4.675,71.93997109722183,81.25316658351592,29.815309545306594,9.313195482762966,0.0,-9.313195486294093,105.59104775340832,95.69230291949583
54,4.00398094695643,16.471290815021874,68.59008333333333,62.6,2017-08-23 06:00:00,1.5,23.167970988919876,4.675,72.59406428028976,81.90725976658385,33.77837145436791,9.313195482762966,0.0,-9.31319548629409,105.59104775340832,95.69230291949583
55,4.776146807672914,20.73074434093963,77.22871280602637,66.2,2017-08-23 07:00:00,1.5,18.86007745468751,4.675,82.00485961369928,91.31805509999336,37.74143336342922,9.313195482762966,0.0,-9.313195486294083,105.59104775340832,95.69230291949583
56,6.405673060494408,28.318345954383155,87.3058611111111,71.6,2017-08-23 08:00:00,1.5,17.84265488461894,4.675,93.7115341716055,95.692302908152,41.70449527249054,1.9807687345476583,0.0,-1.9807687365464928,105.59104775340832,95.69230291949583
57,8.151794035542753,35.644009014118794,91.99302777777778,73.4,2017-08-23 09:00:00,1.5,18.43163437765149,9.083333333,100.14482181332053,94.61264386788906,42.54737558591457,1.458310256127015e-13,5.5321779454316085,5.532177945431463,105.59104775340832,95.69230291949583
58,6.758589293993928,29.032525607570786,93.62333333333332,75.2,2017-08-23 10:00:00,1.5,19.51699299709228,15.925,100.38192262732724,93.6233324044254,40.19325731126289,4.63904341542473e-14,6.758590222901884,6.758590222901838,105.59104775340832,95.69230291949583
59,8.732197014558391,35.62138382644538,94.95844444444442,80.6,2017-08-23 11:00:00,1.5,24.11652550684456,15.925,103.69064145900282,94.95844350218539,37.31726147173019,3.8674195003923286e-14,8.732197956817457,8.732197956817418,105.59104775340832,95.69230291949583
60,9.403379332798064,36.74671929368655,95.21675,84.2,2017-08-23 12:00:00,1.5,31.230175133792375,9.083333333,104.62012933279807,95.50514454395767,33.601432553935545,7.014737547654141e-14,9.114984788840475,9.114984788840406,105.59104775340832,95.69230291949583
61,9.649716160623253,37.614680718599196,95.52938888888887,84.2,2017-08-23 13:00:00,1.5,31.822557010228206,15.925,105.17910504951213,95.5293879409204,29.722715622514098,0.0,9.649717108591572,9.649717108591728,105.59104775340832,95.69230291949583
62,12.471317683923766,44.95435732008019,92.79655555555554,87.8,2017-08-23 14:00:00,1.5,100.87261293617864,15.925,105.26787323947931,95.36912841973556,25.616453023113362,0.0,9.898744816662028,9.898744819743756,105.59104775340832,95.69230291949583
63,16.078353308963887,54.609492971646844,89.51269444444443,87.8,2017-08-23 15:00:00,1.5,-87.44992777699159,15.925,105.59104775340832,95.69230291949583,21.40422118492453,0.0,9.898744823962417,9.898744833912485,105.59104775340832,95.69230291949583
64,15.976191040198433,55.39330189440895,85.47155555555555,86.0,2017-08-23 16:00:00,1.5,-291.95288524754204,15.925,101.44774659575398,91.54900177601013,17.191989340706453,0.0,9.898744816662028,9.89874481974385,105.59104775340832,95.69230291949583
65,15.950410200733645,57.29641463996351,83.34772222222223,82.4,2017-08-23 17:00:00,1.5,113.53759164204047,9.083333333,99.29813242295587,92.29570212663094,12.979757502517579,3.139700815865902e-14,7.002430296324968,7.0024302963249365,105.59104775340832,95.69230291949583
66,4.902967892664841,19.345978462242172,77.94952777777779,75.2,2017-08-23 18:00:00,1.5,29.18448333263884,9.083333333,82.85249567044264,82.85249573154395,10.0,5.9591388310728424e-08,0.0,-6.110130812174086e-08,105.59104775340832,95.69230291949583
67,3.721773774931864,13.202367855414714,77.00327777777778,68.0,2017-08-23 19:00:00,1.5,214.2473256046173,9.083333333,80.72505155270964,80.72505159025125,10.0,3.6328294812289324e-08,0.0,-3.754161238764762e-08,105.59104775340832,95.69230291949583
68,3.059539721474807,8.105621593276085,76.34794444444445,66.2,2017-08-23 20:00:00,1.5,-4.319849565940547,9.083333333,79.40748416591926,79.40748419334241,10.0,2.6442920370205955e-08,0.0,-2.742315552234391e-08,105.59104775340832,95.69230291949583
